,Name,ID,Position,Link,Start Year,End Year
10514,Mike MacDougal,612,P,statss.aspx?playerid=612&position=P,2001,2012
10525,Andres Machado,14681,P,statss.aspx?playerid=14681&position=P,2017,2017
10530,Jean Machi,3220,P,statss.aspx?playerid=3220&position=P,2012,2017
10552,Evan MacLane,5576,P,statss.aspx?playerid=5576&position=P,2010,2010
10575,Austin Maddox,14241,P,statss.aspx?playerid=14241&position=P,2017,2017
10577,Greg Maddux,104,P,statss.aspx?playerid=104&position=P,1986,2008
10586,Warner Madrigal,6419,P,statss.aspx?playerid=6419&position=P,2008,2009
10587,Bobby Madritsch,2085,P,statss.aspx?playerid=2085&position=P,2004,2005
10589,Calvin Maduro,151,P,statss.aspx?playerid=151&position=P,1996,2002
10602,Mike Magnante,929,P,statss.aspx?playerid=929&position=P,1991,2002
10605,Damien Magnifico,13395,P,statss.aspx?playerid=13395&position=P,2016,2017
10606,Trystan Magnuson,3646,P,statss.aspx?playerid=3646&position=P,2011,2011
10623,Ron Mahay,290,P,statss.aspx?playerid=290&position=P,1995,2010
10627,Greg Mahle,16877,P,statss.aspx?playerid=16877&position=P,2016,2016
10630,Paul Maholm,8678,P,statss.aspx?playerid=8678&position=P,2005,2014
10631,Pat Mahomes,291,P,statss.aspx?playerid=291&position=P,1992,2003
10649,Scott Maine,885,P,statss.aspx?playerid=885&position=P,2010,2012
10650,John Maine,4773,P,statss.aspx?playerid=4773&position=P,2004,2013
10653,Oswaldo Mairena,528,P,statss.aspx?playerid=528&position=P,2000,2002
10658,Gary Majewski,2131,P,statss.aspx?playerid=2131&position=P,2004,2010
10666,Mark Malaska,1769,P,statss.aspx?playerid=1769&position=P,2004,2004
10680,Brian Mallette,1460,P,statss.aspx?playerid=1460&position=P,2002,2002
10705,Matt Maloney,9920,P,statss.aspx?playerid=9920&position=P,2009,2012
10716,Seth Maness,12235,P,statss.aspx?playerid=12235&position=P,2013,2017
10728,Jim Mann,566,P,statss.aspx?playerid=566&position=P,2000,2003
10741,Dave Manning,1785,P,statss.aspx?playerid=1785&position=P,2003,2003
10742,Charlie Manning,3578,P,statss.aspx?playerid=3578&position=P,2008,2008
10744,Julio Manon,1732,P,statss.aspx?playerid=1732&position=P,2003,2006
10750,Jeff Manship,6865,P,statss.aspx?playerid=6865&position=P,2009,2016
10752,Matt Mantei,64,P,statss.aspx?playerid=64&position=P,1995,2005
10754,Joe Mantiply,14857,P,statss.aspx?playerid=14857&position=P,2016,2016
